year_film,year_ceremony,ceremony,category,name,film,winner
1947,1948,20,ACTOR,Ronald Colman,A Double Life,True
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Miracle on 34th Street,True
1947,1948,20,ACTRESS,Loretta Young,The Farmer's Daughter,True
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement,True
1948,1949,21,ACTOR,Laurence Olivier,Hamlet,True
1948,1949,21,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,True
1948,1949,21,ACTRESS,Jane Wyman,Johnny Belinda,True
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Key Largo,True
1949,1950,22,ACTOR,Broderick Crawford,All the King's Men,True
1949,1950,22,ACTOR IN A SUPPORTING ROLE,Dean Jagger,Twelve O'Clock High,True
1949,1950,22,ACTRESS,Olivia de Havilland,The Heiress,True
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,All the King's Men,True
1950,1951,23,ACTOR,José Ferrer,Cyrano de Bergerac,True
1950,1951,23,ACTOR IN A SUPPORTING ROLE,George Sanders,All about Eve,True
1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,True
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,True
1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True
1951,1952,24,ACTOR IN A SUPPORTING ROLE,Karl Malden,A Streetcar Named Desire,True
1951,1952,24,ACTRESS,Vivien Leigh,A Streetcar Named Desire,True
1951,1952,24,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,A Streetcar Named Desire,True
1952,1953,25,ACTOR,Gary Cooper,High Noon,True
1952,1953,25,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Viva Zapata!,True
1952,1953,25,ACTRESS,Shirley Booth,"Come Back, Little Sheba",True
1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,The Bad and the Beautiful,True
1953,1954,26,ACTOR,William Holden,Stalag 17,True
1953,1954,26,ACTOR IN A SUPPORTING ROLE,Frank Sinatra,From Here to Eternity,True
1953,1954,26,ACTRESS,Audrey Hepburn,Roman Holiday,True
1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Donna Reed,From Here to Eternity,True
1954,1955,27,ACTOR,Marlon Brando,On the Waterfront,True
1954,1955,27,ACTOR IN A SUPPORTING ROLE,Edmond O'Brien,The Barefoot Contessa,True
1954,1955,27,ACTRESS,Grace Kelly,The Country Girl,True
1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,On the Waterfront,True
1955,1956,28,ACTOR,Ernest Borgnine,Marty,True
1955,1956,28,ACTOR IN A SUPPORTING ROLE,Jack Lemmon,Mister Roberts,True
1955,1956,28,ACTRESS,Anna Magnani,The Rose Tattoo,True
1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Jo Van Fleet,East of Eden,True
1956,1957,29,ACTOR,Yul Brynner,The King and I,True
1956,1957,29,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Lust for Life,True
1956,1957,29,ACTRESS,Ingrid Bergman,Anastasia,True
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,True
1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,True
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Red Buttons,Sayonara,True
1957,1958,30,ACTRESS,Joanne Woodward,The Three Faces of Eve,True
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,True
1958,1959,31,ACTOR,David Niven,Separate Tables,True
1958,1959,31,ACTOR IN A SUPPORTING ROLE,Burl Ives,The Big Country,True
1958,1959,31,ACTRESS,Susan Hayward,I Want to Live!,True
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables,True
1959,1960,32,ACTOR,Charlton Heston,Ben-Hur,True
1959,1960,32,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Ben-Hur,True
1959,1960,32,ACTRESS,Simone Signoret,Room at the Top,True
1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank,True
1960,1961,33,ACTOR,Burt Lancaster,Elmer Gantry,True
1960,1961,33,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Spartacus,True
1960,1961,33,ACTRESS,Elizabeth Taylor,Butterfield 8,True
1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Shirley Jones,Elmer Gantry,True
1961,1962,34,ACTOR,Maximilian Schell,Judgment at Nuremberg,True
1961,1962,34,ACTOR IN A SUPPORTING ROLE,George Chakiris,West Side Story,True
1961,1962,34,ACTRESS,Sophia Loren,Two Women,True
1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story,True
1962,1963,35,ACTOR,Gregory Peck,To Kill a Mockingbird,True
1962,1963,35,ACTOR IN A SUPPORTING ROLE,Ed Begley,Sweet Bird of Youth,True
1962,1963,35,ACTRESS,Anne Bancroft,The Miracle Worker,True
1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Patty Duke,The Miracle Worker,True
1963,1964,36,ACTOR,Sidney Poitier,Lilies of the Field,True
1963,1964,36,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Hud,True
1963,1964,36,ACTRESS,Patricia Neal,Hud,True
1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,The V.I.P.s,True
1964,1965,37,ACTOR,Rex Harrison,My Fair Lady,True
1964,1965,37,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Topkapi,True
1964,1965,37,ACTRESS,Julie Andrews,Mary Poppins,True
1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova,Zorba the Greek,True
1965,1966,38,ACTOR,Lee Marvin,Cat Ballou,True
1965,1966,38,ACTOR IN A SUPPORTING ROLE,Martin Balsam,A Thousand Clowns,True
1965,1966,38,ACTRESS,Julie Christie,Darling,True
1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,A Patch of Blue,True
1966,1967,39,ACTOR,Paul Scofield,A Man for All Seasons,True
1966,1967,39,ACTOR IN A SUPPORTING ROLE,Walter Matthau,The Fortune Cookie,True
1966,1967,39,ACTRESS,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,True
1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,Who's Afraid of Virginia Woolf?,True
1967,1968,40,ACTOR,Rod Steiger,In the Heat of the Night,True
1967,1968,40,ACTOR IN A SUPPORTING ROLE,George Kennedy,Cool Hand Luke,True
1967,1968,40,ACTRESS,Katharine Hepburn,Guess Who's Coming to Dinner,True
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,Bonnie and Clyde,True
1968,1969,41,ACTOR,Cliff Robertson,Charly,True
1968,1969,41,ACTOR IN A SUPPORTING ROLE,Jack Albertson,The Subject Was Roses,True
1968,1969,41,ACTRESS,Katharine Hepburn,The Lion in Winter,True
1968,1969,41,ACTRESS,Barbra Streisand,Funny Girl,True
1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby,True
1969,1970,42,ACTOR,John Wayne,True Grit,True
1969,1970,42,ACTOR IN A SUPPORTING ROLE,Gig Young,"They Shoot Horses, Don't They?",True
1969,1970,42,ACTRESS,Maggie Smith,The Prime of Miss Jean Brodie,True
1969,1970,42,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn,Cactus Flower,True
1970,1971,43,ACTOR,George C. Scott,Patton,True
1970,1971,43,ACTOR IN A SUPPORTING ROLE,John Mills,Ryan's Daughter,True
1970,1971,43,ACTRESS,Glenda Jackson,Women in Love,True
1970,1971,43,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,Airport,True
1971,1972,44,ACTOR,Gene Hackman,The French Connection,True
1971,1972,44,ACTOR IN A SUPPORTING ROLE,Ben Johnson,The Last Picture Show,True
1971,1972,44,ACTRESS,Jane Fonda,Klute,True
1971,1972,44,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,The Last Picture Show,True
1972,1973,45,ACTOR,Marlon Brando,The Godfather,True
1972,1973,45,ACTOR IN A SUPPORTING ROLE,Joel Grey,Cabaret,True
1972,1973,45,ACTRESS,Liza Minnelli,Cabaret,True
1972,1973,45,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,Butterflies Are Free,True
1973,1974,46,ACTOR,Jack Lemmon,Save the Tiger,True
1973,1974,46,ACTOR IN A SUPPORTING ROLE,John Houseman,The Paper Chase,True
1973,1974,46,ACTRESS,Glenda Jackson,A Touch of Class,True
1973,1974,46,ACTRESS IN A SUPPORTING ROLE,Tatum O'Neal,Paper Moon,True
1974,1975,47,ACTOR,Art Carney,Harry and Tonto,True
1974,1975,47,ACTOR IN A SUPPORTING ROLE,Robert De Niro,The Godfather Part II,True
1974,1975,47,ACTRESS,Ellen Burstyn,Alice Doesn't Live Here Anymore,True
1974,1975,47,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman,Murder on the Orient Express,True
1975,1976,48,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True
1975,1976,48,ACTOR IN A SUPPORTING ROLE,George Burns,The Sunshine Boys,True
1975,1976,48,ACTRESS,Louise Fletcher,One Flew over the Cuckoo's Nest,True
1975,1976,48,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Shampoo,True
1976,1977,49,ACTOR IN A LEADING ROLE,Peter Finch,Network,True
1976,1977,49,ACTOR IN A SUPPORTING ROLE,Jason Robards,All the President's Men,True
1976,1977,49,ACTRESS IN A LEADING ROLE,Faye Dunaway,Network,True
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight,Network,True
1977,1978,50,ACTOR IN A LEADING ROLE,Richard Dreyfuss,The Goodbye Girl,True
1977,1978,50,ACTOR IN A SUPPORTING ROLE,Jason Robards,Julia,True
1977,1978,50,ACTRESS IN A LEADING ROLE,Diane Keaton,Annie Hall,True
1977,1978,50,ACTRESS IN A SUPPORTING ROLE,Vanessa Redgrave,Julia,True
1978,1979,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,True
1978,1979,51,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,True
1978,1979,51,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,True
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite,True
1979,1980,52,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,True
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Being There,True
1979,1980,52,ACTRESS IN A LEADING ROLE,Sally Field,Norma Rae,True
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Kramer vs. Kramer,True
1980,1981,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,True
1980,1981,53,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,Ordinary People,True
1980,1981,53,ACTRESS IN A LEADING ROLE,Sissy Spacek,Coal Miner's Daughter,True
1980,1981,53,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,Melvin and Howard,True
1981,1982,54,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,True
1981,1982,54,ACTOR IN A SUPPORTING ROLE,John Gielgud,Arthur,True
1981,1982,54,ACTRESS IN A LEADING ROLE,Katharine Hepburn,On Golden Pond,True
1981,1982,54,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Reds,True
1982,1983,55,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,True
1982,1983,55,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr.",An Officer and a Gentleman,True
1982,1983,55,ACTRESS IN A LEADING ROLE,Meryl Streep,Sophie's Choice,True
1982,1983,55,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,Tootsie,True
1983,1984,56,ACTOR IN A LEADING ROLE,Robert Duvall,Tender Mercies,True
1983,1984,56,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Terms of Endearment,True
1983,1984,56,ACTRESS IN A LEADING ROLE,Shirley MacLaine,Terms of Endearment,True
1983,1984,56,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,The Year of Living Dangerously,True
1984,1985,57,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,True
1984,1985,57,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,The Killing Fields,True
1984,1985,57,ACTRESS IN A LEADING ROLE,Sally Field,Places in the Heart,True
1984,1985,57,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,A Passage to India,True
1985,1986,58,ACTOR IN A LEADING ROLE,William Hurt,Kiss of the Spider Woman,True
1985,1986,58,ACTOR IN A SUPPORTING ROLE,Don Ameche,Cocoon,True
1985,1986,58,ACTRESS IN A LEADING ROLE,Geraldine Page,The Trip to Bountiful,True
1985,1986,58,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,Prizzi's Honor,True
1986,1987,59,ACTOR IN A LEADING ROLE,Paul Newman,The Color of Money,True
1986,1987,59,ACTOR IN A SUPPORTING ROLE,Michael Caine,Hannah and Her Sisters,True
1986,1987,59,ACTRESS IN A LEADING ROLE,Marlee Matlin,Children of a Lesser God,True
1986,1987,59,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Hannah and Her Sisters,True
1987,1988,60,ACTOR IN A LEADING ROLE,Michael Douglas,Wall Street,True
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Sean Connery,The Untouchables,True
1987,1988,60,ACTRESS IN A LEADING ROLE,Cher,Moonstruck,True
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis,Moonstruck,True
1988,1989,61,ACTOR IN A LEADING ROLE,Dustin Hoffman,Rain Man,True
1988,1989,61,ACTOR IN A SUPPORTING ROLE,Kevin Kline,A Fish Called Wanda,True
1988,1989,61,ACTRESS IN A LEADING ROLE,Jodie Foster,The Accused,True
1988,1989,61,ACTRESS IN A SUPPORTING ROLE,Geena Davis,The Accidental Tourist,True
1989,1990,62,ACTOR IN A LEADING ROLE,Daniel Day Lewis,My Left Foot,True
1989,1990,62,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Glory,True
1989,1990,62,ACTRESS IN A LEADING ROLE,Jessica Tandy,Driving Miss Daisy,True
1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker,My Left Foot,True
1990,1991,63,ACTOR IN A LEADING ROLE,Jeremy Irons,Reversal of Fortune,True
1990,1991,63,ACTOR IN A SUPPORTING ROLE,Joe Pesci,Good Fellas,True
1990,1991,63,ACTRESS IN A LEADING ROLE,Kathy Bates,Misery,True
1990,1991,63,ACTRESS IN A SUPPORTING ROLE,Whoopi Goldberg,Ghost,True
1991,1992,64,ACTOR IN A LEADING ROLE,Anthony Hopkins,The Silence of the Lambs,True
1991,1992,64,ACTOR IN A SUPPORTING ROLE,Jack Palance,City Slickers,True
1991,1992,64,ACTRESS IN A LEADING ROLE,Jodie Foster,The Silence of the Lambs,True
1991,1992,64,ACTRESS IN A SUPPORTING ROLE,Mercedes Ruehl,The Fisher King,True
1992,1993,65,ACTOR IN A LEADING ROLE,Al Pacino,Scent of a Woman,True
1992,1993,65,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Unforgiven,True
1992,1993,65,ACTRESS IN A LEADING ROLE,Emma Thompson,Howards End,True
1992,1993,65,ACTRESS IN A SUPPORTING ROLE,Marisa Tomei,My Cousin Vinny,True
1993,1994,66,ACTOR IN A LEADING ROLE,Tom Hanks,Philadelphia,True
1993,1994,66,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,The Fugitive,True
1993,1994,66,ACTRESS IN A LEADING ROLE,Holly Hunter,The Piano,True
1993,1994,66,ACTRESS IN A SUPPORTING ROLE,Anna Paquin,The Piano,True
1994,1995,67,ACTOR IN A LEADING ROLE,Tom Hanks,Forrest Gump,True
1994,1995,67,ACTOR IN A SUPPORTING ROLE,Martin Landau,Ed Wood,True
1994,1995,67,ACTRESS IN A LEADING ROLE,Jessica Lange,Blue Sky,True
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Bullets over Broadway,True
1995,1996,68,ACTOR IN A LEADING ROLE,Nicolas Cage,Leaving Las Vegas,True
1995,1996,68,ACTOR IN A SUPPORTING ROLE,Kevin Spacey,The Usual Suspects,True
1995,1996,68,ACTRESS IN A LEADING ROLE,Susan Sarandon,Dead Man Walking,True
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino,Mighty Aphrodite,True
1996,1997,69,ACTOR IN A LEADING ROLE,Geoffrey Rush,Shine,True
1996,1997,69,ACTOR IN A SUPPORTING ROLE,"Cuba Gooding, Jr.",Jerry Maguire,True
1996,1997,69,ACTRESS IN A LEADING ROLE,Frances McDormand,Fargo,True
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,The English Patient,True
1997,1998,70,ACTOR IN A LEADING ROLE,Jack Nicholson,As Good as It Gets,True
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robin Williams,Good Will Hunting,True
1997,1998,70,ACTRESS IN A LEADING ROLE,Helen Hunt,As Good as It Gets,True
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,L.A. Confidential,True
1998,1999,71,ACTOR IN A LEADING ROLE,Roberto Benigni,Life Is Beautiful,True
1998,1999,71,ACTOR IN A SUPPORTING ROLE,James Coburn,Affliction,True
1998,1999,71,ACTRESS IN A LEADING ROLE,Gwyneth Paltrow,Shakespeare in Love,True
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Judi Dench,Shakespeare in Love,True
1999,2000,72,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,True
1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Caine,The Cider House Rules,True
1999,2000,72,ACTRESS IN A LEADING ROLE,Hilary Swank,Boys Don't Cry,True
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Angelina Jolie,"Girl, Interrupted",True
2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,True
2000,2001,73,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,Traffic,True
2000,2001,73,ACTRESS IN A LEADING ROLE,Julia Roberts,Erin Brockovich,True
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden,Pollock,True
2001,2002,74,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,True
2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,True
2001,2002,74,ACTRESS IN A LEADING ROLE,Halle Berry,Monster's Ball,True
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,A Beautiful Mind,True
2002,2003,75,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True
2002,2003,75,ACTOR IN A SUPPORTING ROLE,Chris Cooper,Adaptation,True
2002,2003,75,ACTRESS IN A LEADING ROLE,Nicole Kidman,The Hours,True
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones,Chicago,True
2003,2004,76,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True
2003,2004,76,ACTOR IN A SUPPORTING ROLE,Tim Robbins,Mystic River,True
2003,2004,76,ACTRESS IN A LEADING ROLE,Charlize Theron,Monster,True
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger,Cold Mountain,True
2004,2005,77,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,True
2004,2005,77,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,Million Dollar Baby,True
2004,2005,77,ACTRESS IN A LEADING ROLE,Hilary Swank,Million Dollar Baby,True
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett,The Aviator,True
2005,2006,78,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,Capote,True
2005,2006,78,ACTOR IN A SUPPORTING ROLE,George Clooney,Syriana,True
2005,2006,78,ACTRESS IN A LEADING ROLE,Reese Witherspoon,Walk the Line,True
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,The Constant Gardener,True
2006,2007,79,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,True
2006,2007,79,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Little Miss Sunshine,True
2006,2007,79,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,True
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson,Dreamgirls,True
2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,80,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,True
2007,2008,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,True
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,Michael Clayton,True
2008,2009,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True
2008,2009,81,ACTOR IN A SUPPORTING ROLE,Heath Ledger,The Dark Knight,True
2008,2009,81,ACTRESS IN A LEADING ROLE,Kate Winslet,The Reader,True
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz,Vicky Cristina Barcelona,True
2009,2010,82,ACTOR IN A LEADING ROLE,Jeff Bridges,Crazy Heart,True
2009,2010,82,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,True
2009,2010,82,ACTRESS IN A LEADING ROLE,Sandra Bullock,The Blind Side,True
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire,True
2010,2011,83,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,True
2010,2011,83,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,True
2010,2011,83,ACTRESS IN A LEADING ROLE,Natalie Portman,Black Swan,True
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter,True
2011,2012,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,True
2011,2012,84,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,True
2011,2012,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,True
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,True
2012,2013,85,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln,True
2012,2013,85,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,True
2012,2013,85,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook,True
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables,True
2013,2014,86,ACTOR IN A LEADING ROLE,Matthew McConaughey,Dallas Buyers Club,True
2013,2014,86,ACTOR IN A SUPPORTING ROLE,Jared Leto,Dallas Buyers Club,True
2013,2014,86,ACTRESS IN A LEADING ROLE,Cate Blanchett,Blue Jasmine,True
