title,release_year,adjusted_domestic_gross
Enemy of the State,1998,215161156.06380367
Eragon,2006,117011325.63095239
Xi You Fu Yao Pian,2017,1129256.558139535
Bienvenue chez les Ch'tis,2008,2157794.5192754297
Love Actually,2003,102924010.51304348
Lilo & Stitch,2002,254755798.15897718
8 Mile,2002,203991379.54419118
Rango,2011,172616094.4455313
Dark Shadows,2012,109173413.09059232
Teenage Mutant Ninja Turtles: Out of …,2016,107487597.30999999
Lie huo ying xiong,2019,356840.92608525616
Pixels,2015,104489561.17468354
Legend of Deification (姜子牙),2020,260789.21174652237
Four Weddings and a Funeral,1994,111802574.76923077
Face/Off,1997,219935328.9869159
Assassin’s Creed,2016,71588811.88
Wish,2023,66010401.45191992
Howl’s Moving Castle (ハウルの動く城)…,2004,11808965.52673372
Dead Poets Society,1989,243051777.98709676
Grand Canyon: The Hidden Secrets,1984,159772088.54667947
Bullet Train,2022,111032075.39733516
Sully,2016,163841743.23
Click,2006,214209380.0357143
The Day the Earth Stood Still,2008,115898643.21040408
Gang jiong,2015,1727582.8962025316
A Few Good Men,1992,316730947.7063435
Silver Linings Playbook,2012,180879904.16027874
Artificial Intelligence: AI,2001,139565708.76115188
Eraser,1996,202978487.52581263
Spy!,2015,147019425.5392405
Gone in 60 Seconds,2000,185578174.88501742
Gulliver's Travels,2010,61668040.616231084
Million Dollar Baby,2004,167256477.62413976
The English Patient,1996,157733766.63862333
Shao Nian De Ni,2019,2362803.9139616736
Juno,2007,217631024.19681618
Encanto,2021,111482785.08044279
Hidden Figures,2016,222185545.96999997
La vita è bella,1998,111097477.64907975
The Green Hornet,2011,138090018.69630945
Big Daddy,1999,308511689.96398556
Sleepless in Seattle,1993,275629549.6858131
Chicken Run,2000,194982618.32752615
The Imitation Game,2014,121038212.75538656
Argo,2012,186264887.38327524
Fang Hua,2017,2426890.927784578
Baby Driver,2017,138312733.63035497
Get Smart,2008,190303571.73803994
Yes Man,2008,142656957.05712956
Good Will Hunting,1997,271174280.1495327
Cruella,2021,99892460.40442804
The Social Network,2010,139775657.92572215
It’s Complicated,2009,165240102.0979021
Ford v. Ferrari,2019,144626898.08682048
Con Air,1997,198077040.19439253
Interview with the Vampire,1994,223314391.06072876
Jumper,2008,117074394.06967022
Non-Stop,2014,121857773.99239543
Constantine,2005,122308808.82334869
Bedtime Stories,2008,160780589.59591267
Presumed Innocent,1990,207603078.096404
Everest,2015,57682808.81012658
Wild Wild West,1999,214768944.21608642
Fahrenheit 9/11,2004,198250948.35786128
Geostorm,2017,43228601.81150551
Captain Phillips,2013,144565191.0077253
Anyone But You,2023,91131288.5434854
Green Lantern,2011,163003150.18586037
Knocked Up,2007,225618422.17076698
Little Women,2019,132911099.929605
Kingdom of Heaven,2005,76303435.98156682
The Terminal,2004,128279792.00423504
The Prince of Egypt,1998,195609241.14846626
What Happens in Vegas...,2008,117228480.7357176
The Sorcerer's Apprentice,2010,91034716.04951857
Napoleon,2023,63482978.33935019
Collateral,2004,166720464.73689783
Valentine's Day,2010,159269553.4965612
Central Intelligence,2016,166947541.01
Twins,1988,297487746.29923916
The Emoji Movie,2017,110430611.53488372
Bram Stoker's Dracula,1992,184926337.67640767
Bad Teacher,2011,140204864.05691415
The Patriot,2000,206916721.9790941
Valerian and the City of a Thousand P…,2017,51924577.429620564
Australia,2008,72363112.99953553
Just Go With It,2011,144028623.69764337
Hansel & Gretel: Witch Hunters,2013,75163830.64377682
Flightplan,2005,144413092.8172043
Smallfoot,2018,104224167.19713262
Xia Luo Te Fan Nao,2015,1710223.240506329
Vertical Limit,2000,125017563.20557491
Battle: Los Angeles,2011,116802506.34771007
The Help,2011,237240713.8852823
Lemony Snicket's A Series of Unfortun…,2004,197439733.1116993
Master and Commander: The Far Side of…,2003,160491607.38260868
Pulp Fiction,1994,228966280.51821864
District 9,2009,169506649.34265733
Into the Woods,2014,170020894.62103927
Public Enemies,2009,142329568.8951049
Disclosure,1994,176112982.3319838
End of Days,1999,126229982.7082833
Total Recall,2012,80623839.08362368
Due Date,2010,144931110.12929848
Entrapment,1999,165517438.78991595
Immortals,2011,116734828.56736325
Nou fo,2021,447010.6715867158
Jungle Cruise,2021,135722786.09003687
Fury,2014,113988802.89987326
Braveheart,1995,155850074.9133858
The Aviator,2004,170779328.7919534
Traffic,2000,226593440.50174218
Me Before You,2016,73681048.24999999
Xi you xiang mo pian,2013,24366.674678111583
Safe House,2012,172785298.2229965
Dungeons & Dragons: Honor Among Thieves,2023,96527764.88349196
The Others,2001,171394764.11518914
S.W.A.T.,2003,199708241.83043477
Sleepy Hollow,1999,190731609.21968785
Tomorrowland,2015,123950968.93164557
Eat Pray Love,2010,116150704.92434663
The Break-Up,2006,185120583.6309524
White House Down,2013,98643045.87811157
JFK,1991,162521942.5198238
The Ugly Truth,2009,130326075.9048951
Ponyo (崖の上のポニョ),2008,22036328.126335345
The Holiday,2006,98686666.66666667
Yogi Bear,2010,144508692.610729
Valkyrie,2008,121361362.92429167
DC League of Super Pets,2022,100600606.7126751
King Arthur,2004,86344264.51667549
Fun with Dick & Jane,2005,177966820.2764977
You Don't Mess With the Zohan,2008,146056304.47189966
Hairspray,2007,180286103.83791605
Vanilla Sky,2001,178618358.8661773
Arrival,2016,131715442.08999999
Straight Outta Compton,2015,213842124.9113924
Patch Adams,1998,260421508.82944784
Flashdance,1983,285559715.5180723
One Piece Film: Red,2022,13714663.99453365
Philadelphia,1993,168240818.52456748
Birds of Prey (And the Fantabulous Em…,2020,102238872.25038639
The BFG,2016,72683738.69999999
Two Weeks Notice,2002,163150562.64146745
City of Angels,1998,151897458.83190185
Yi Chu Hao Xi,2018,840006.4324970131
The Pacifier,2005,181921981.93548384
Christopher Robin,2018,124226241.35722819
Jack the Giant Slayer,2013,87961297.78197424
The Vow,2012,171186459.19860625
Wallace & Gromit: The Curse of the We…,2005,90260886.72196619
Princess Mononoke (もののけ姫),1999,4480307.567827131
The Intern,2015,100508071.21012658
Stargate,1994,151823524.51821864
Weathering with You (天気の子),2019,9906164.87446226
50 First Dates,2004,201017660.03599787
Panic Room,2002,166564483.5175097
The Shape of Water,2017,81915162.64381886
Anger Management,2003,231632392.2
Beowulf,2007,124790226.90593341
The Other Woman,2014,111456185.3789607
Need for Speed,2014,57870463.03675538
The Monkey King 2 (西游记之孙悟空三打白骨精)…,2016,930076.4199999999
The Lost City,2022,113153955.30440724
The Longest Yard,2005,254545613.02611366
Tropic Thunder,2008,161384182.1049698
The Aristocats,1970,478082474.2268041
Rocketman,2019,118491003.14430973
Cheaper by the Dozen,2003,236850068.66086954
The Waterboy,1998,311490634.9840491
Outbreak,1995,139919497.0551181
Mr. Poppers's Penguins,2011,95374689.67896841
Xin Hua Lu Fang,2014,1029352.5069708491
Abominable,2019,74710133.03089558
Hop,2011,151098354.34415293
The Pelican Brief,1993,219248974.43875432
The Secret Life of Walter Mitty,2013,78582239.77339055
Walk the Line,2005,192406041.92933947
Heat,1995,139121624.53543305
In the Line of Fire,1993,222460027.58200693
Watchmen,2009,157580796.29650348
The Horse Whisperer,1998,145402406.1791411
Knowing,2009,117196643.96083915
Atlantis: The Lost Empire,2001,149216196.34556746
Inside Man,2006,138227202.94047618
I Now Pronounce You Chuck and Larry,2007,181580453.60347322
Red One,2024,97000759.0
IF,2024,111149917.0
Road to Perdition,2002,181849578.66370204
Storks,2016,95209854.17999999
Gangs of New York,2002,135844742.6347971
Maverick,1994,215606423.19028342
Daredevil,2003,175215663.3652174
Sweet Home Alabama,2002,222324092.47804332
Cape Fear,1991,182573531.9647577
While You Were Sleeping,1995,167219985.76377952
Jupiter Ascending,2015,62989468.24303798
The Birdcage,1996,248595524.94072658
Poseidon,2006,94623821.75
The First Wives Club,1996,211381806.39388144
He's Just Not That Into You,2009,137711088.59300697
Déjà Vu,2006,99869746.38095239
The Fall Guy,2024,92900355.0
12 Years a Slave,2013,76470706.43433475
Eagle Eye,2008,148132696.69856015
Teenage Mutant Ninja Turtles: Mutant …,2023,122479046.65835248
The Haunting,1999,172087585.42617047
The Dictator,2012,81681314.44599302
Hugo,2011,103259230.77278788
The Post,2017,105060984.06854345
Flushed Away,2006,100847655.14285715
The League of Extraordinary Gentlemen,2003,113568805.09565216
Dangerous Minds,1995,175188055.6062992
How to Lose a Guy in 10 Days,2003,180792849.39130434
Dante’s Peak,1997,131565835.7682243
Flubber,1997,182163557.84672898
Double Jeopardy,1999,220297458.74189675
The A-Team,2010,111318789.20495185
Tootsie,1982,577323108.8082901
Lee Daniels' The Butler,2013,157378243.21030042
Brokeback Mountain,2005,133686423.23809522
Bob Marley: One Love,2024,96893170.0
Jet Li's Hero,2002,93764495.91995552
The 40 Year-old Virgin,2005,176194777.84331796
The Italian Job,2003,181337055.28695652
Cowboys and Aliens,2011,140310694.81547353
Baywatch,2017,74476223.90208079
The Bridges of Madison County,1995,147538217.7480315
The Descendants,2011,115505948.14762114
Identity Thief,2013,181497749.56223175
Sleeping with the Enemy,1991,234528099.6475771
The Bucket List,2007,141755273.6555716
George Of The Jungle,1997,206197931.4691589
Le Fabuleux destin d'Amélie Poulain,2001,59261545.36871823
Operation Mekong,2016,1048015.7199999999
The Girl on the Train,2016,98767495.85
Jujutsu Kaisen 0,2021,39351748.383763835
Pan Deng Zhe,2019,598991.6339460305
Mirror Mirror,2012,88918190.35191637
The Mule,2018,129972543.05376343
Along Came Polly,2004,146587139.23133934
Couples Retreat,2009,160066477.87412587
Nope,2022,132416515.03928937
Blood Diamond,2006,89482226.14285715
Mr. Deeds,2002,220715182.3724291
The Other Guys,2010,171860435.96148553
Zookeeper,2011,112340846.02223209
Meet the Robinsons,2007,148361266.58176553
Looper,2012,91042085.59233448
The Specialist,1994,121692277.10121457
Starsky & Hutch,2004,146798045.20910534
Shall We Dance?,2004,96347009.53308628
The Nutcracker and the Four Realms,2018,68688262.66188769
Superbad,2007,184216296.45151952
The Impossible,2012,26044646.780487802
The Saint,1997,120203257.1813084
Hannah Montana: The Movie,2009,116637546.95384614
12 Monkeys,1995,117882379.98425196
Ticket to Paradise,2022,73337785.04953878
Hacksaw Ridge,2016,88044595.64999999
Four Christmases,2008,175447816.88806316
Burn After Reading,2008,88136187.16581513
Focus,2015,71453652.18227848
Ghost in the Shell,2017,52032567.608323134
Alexander,2004,57083307.836950764
Coraline,2009,170717030.7132867
Up in the Air,2009,122862801.80139859
Seven Pounds,2008,102149807.0859266
Gemini Man,2019,59691452.82753226
Contact,1997,197690663.16261682
Unstoppable,2010,117576290.5309491
Sleepers,1996,106805531.3499044
Cold Mountain,2003,163407031.74782607
Spies in Disguise,2019,82082146.60617912
In Time,2011,52498693.73410404
Miami Vice,2006,98996759.26190476
"Six Days, Seven Nights",1998,143388184.25521472
Bringing Down the House,2003,226701882.54782608
No Country for Old Men,2007,112646357.80028942
Maid in Manhattan,2002,164160658.7126181
World Trade Center,2006,109601606.9404762
One Flew Over the Cuckoo's Nest,1975,636871986.2453531
The Grand Budapest Hotel,2014,78468527.13814956
The Island,2005,57662397.57910906
Talladega Nights: The Ballad of Ricky…,2006,231142290.32142857
The Spiderwick Chronicles,2008,103965279.43892242
The Happening,2008,94198612.102183
The Interpreter,2005,117047853.65284178
Dick Tracy,1990,249544418.16679418
Bridge of Spies,2015,95930144.54683544
Midnight in Paris,2011,79427116.64206313
The Magnificent Seven,2016,122396778.04999998
Payback,1999,153852415.62064824
Memoirs of a Geisha,2005,91777840.15975422
"Three Billboards Outside Ebbing, Miss…",2017,69927049.59608324
Freaky Friday,2003,188336600.5826087
America's Sweethearts,2001,166178726.09373233
Flight,2012,128406074.4773519
Legends of the Fall,1994,141082381.58704454
27 Dresses,2008,112162753.44914073
K.G.F: Chapter 2,2022,7094206.671677485
21,2008,118516044.38457964
Stepmom,1998,175789453.5754601
Black Hawk Down,2001,192862910.37831733
Crimson Tide,1995,188531063.7007874
The Jackal,1997,107653970.40747663
Unforgiven,1992,226684970.32644328
Demolition Man,1993,126316494.52733564
Norbit,2007,145102663.0043415
Daylight,1996,65942424.321223706
The Book of Eli,2010,136708585.738652
The Monuments Men,2014,103646562.43346007
Days of Thunder,1990,198865175.63274676
Lara Croft: Tomb Raider: The Cradle o…,2003,112182290.84347825
This Means War,2012,74986030.88153309
Mystic River,2003,154013608.9695652
War Horse,2011,111673312.89284125
Killers of the Flower Moon,2023,70192509.59763703
Monster-in-Law,2005,133505381.64055298
P.S. I Love You,2007,81437347.01013024
The Haunted Mansion,2003,129549876.70434782
Dreamgirls,2006,161201669.47619048
Limitless,2011,110787143.85060024
Cool Runnings,1993,149815979.84221452
Yesterday,2019,90110765.58466953
The Phantom of the Opera,2004,85258815.5764955
Sweeney Todd: The Demon Barber of Fle…,2007,80227468.16787264
Cheng feng po lang,2017,602511.4908200734
Devil’s Advocate,1997,119506131.49906541
The Town,2010,132890237.38101788
Chocolat,2000,130196216.8641115
Antz,1998,175056884.2159509
The Beekeeper,2024,66220535.0
The Taking of Pelham 123,2009,95935696.46993005
Date Night,2010,142296494.349381
A Time to Kill,1996,217947945.19311664
Phenomenon,1996,209672903.12810707
Congo,1995,167148435.007874
Evita,1996,100285743.00573614
The Hateful Eight,2015,71791205.02278481
Big,1988,305546767.08030427
Pan,2015,46547543.49367089
Arrietty (借りぐらしのアリエッティ)…,2012,26281032.857142854
The Bone Collector,1999,125473322.30492195
Bi Bei Shang Geng Bei Shang De Gu Shi,2018,904847.2066905615
Vantage Point,2008,105529617.3079424
Darkest Hour,2017,72401945.8506732
Jack and Jill,2011,103669740.15473542
RRR,2022,15546122.943628287
Hustlers,2019,129059660.58349629
Into the Storm,2014,63228262.75285171
Tower Heist,2011,109105565.1756336
Lone Survivor,2013,168798527.70128754
The General's Daughter,1999,193821847.95198077
"Me, Myself & Irene",2000,165363078.31358886
No Strings Attached,2011,98782578.78168073
Lion,2016,67778738.44999999
Death Becomes Her,1992,130920036.77833211
Lights Out,2016,88122173.85
Seabiscuit,2003,205518246.1826087
Broken Arrow,1996,141562150.77629063
Mama,2013,96651930.43776822
Arthur Christmas,2011,64952424.42685637
House of Gucci,2021,62427048.21254612
Swordfish,2001,123865733.78656125
New Year’s Eve,2011,76250930.13428189
Friends with Benefits,2011,78009719.24232991
The Game Plan,2007,137480919.96526772
"Crazy, Stupid, Love",2011,117919147.78479323
Gun dan ba! Zhong liu jun,2015,380250.217721519
Music and Lyrics,2007,76700540.19102749
I am Number Four,2011,77027911.92885725
Red Sparrow,2018,58691136.4874552
Blades of Glory,2007,179865537.34298116
The Foreigner,2017,44117986.94736842
The Mexican,2001,118603210.36702427
The Exorcism of Emily Rose,2005,120853965.88632871
Where the Crawdads Sing,2022,96920228.7119918
Charlotte's Web,2006,129418187.47619048
Spy Game,2001,110710270.26538678
Conspiracy Theory,1997,149107853.3084112
The Wolfman,2010,89649241.30949105
Dear John,2010,115344641.56258596
Gothika,2003,101817872.71304347
Sausage Party,2016,127948168.97999999
Monster House,2006,114876098.92857143
Mona Lisa Smile,2003,109020079.56521739
Trainwreck,2015,146206214.6835443
The Devil's Own,1997,84007666.28785047
The Rugrats Movie,1998,193837601.00613496
Girls Trip,2017,147654496.59730724
Source Code,2011,76485211.95553578
Sommersby,1993,108967323.77024221
The Three Musketeers,2011,28487398.16451756
Annie,2014,114112804.27883397
Anastasia,1997,114405182.48971963
Legend of the Guardians: The Owls of …,2010,80258222.86657496
Towering Inferno,1974,739764705.882353
King Arthur: Legend of the Sword,2017,50251492.249694005
17 Again,2009,94051871.76503496
Lao pao er,2015,1876710.6430379746
Wú Míng (无名),2023,828758.1936330817
The Invisible Man,2020,78860036.01236475
Gods of Egypt,2016,40811037.839999996
Brüno,2009,88023982.43356642
Bird on a Wire,1990,170738232.38561592
Nine Months,1995,143709543.66929132
Bridge to Terabithia,2007,124719794.0260492
Platoon,1986,395763415.3576642
Pete’s Dragon,2016,99865427.80999999
Nosferatu,2024,84441195.0
Abraham Lincoln: Vampire Hunter,2012,51376381.97560975
Last Action Hero,1993,108824597.04913495
Contagion,2011,105766588.24722096
Stardust,2007,58595390.77279305
Let’s Be Cops,2014,109436668.1267427
Remember the Titans,2000,211279266.63414636
Jawan,2023,15682368.992451593
Love Story,1970,862146270.0618557
The Pirates! Band of Misfits,2012,42519486.12543554
Unknown,2011,89030694.60560247
Lost In Space,1998,133316457.40858896
The Bounty Hunter,2010,96671481.35350756
American Made,2017,65858526.315789476
Ad Astra,2019,61709908.204927646
Sense and Sensibility,1995,88695817.22834645
Zero Dark Thirty,2012,131074011.80487804
Black Rain,1989,116358963.32903224
Dr. Seuss’ The Cat in the Hat,2003,172609500.9521739
How Long Will I Love U,2018,935227.9378733572
Perfume: The Story of a Murderer,2006,3467278.369047619
Myeong-ryang,2014,3760299.711026616
Onward,2020,74779511.54559503
La marche de l'empereur,2005,124660844.39938554
A Wrinkle in Time,2018,125808340.72162485
Hope Springs,2012,87002272.90243901
Astérix aux Jeux Olympiques,2008,1460011.9758476543
The Big Short,2015,93205498.43037975
2 Guns,2013,102028143.45064376
A League of Their Own,1992,240974098.50320736
Babel,2006,53496091.03571428
School of Rock,2003,138850619.83043477
Julie & Julia,2009,137962862.16503495
Munich,2005,76272329.21658985
The House with a Clock in its Walls,2018,85830442.48506571
Seven Years in Tibet,1997,74331376.50841121
1408,2007,109176466.19971055
Blade,1998,135292060.21104294
Skiptrace,2016,2347.5199999999995
Law Abiding Citizen,2009,107522934.12027971
Bewitched,2005,101923487.91397849
Boomerang,1992,156981385.55666426
Wolf,1994,137919678.81781375
Man on Fire,2004,129665976.44467972
The Last Witch Hunter,2015,36305452.75949367
About a Boy,2002,71308856.03112839
Cloud Atlas,2012,37120386.39721254
"You, Me and Dupree",2006,118215039.40476191
V for Vendetta,2006,109963637.91666667
An Officer and a Gentleman,1982,422877950.02694297
Atonement,2007,77318678.19392185
The Fighter,2010,134952717.23796424
The Forbidden Kingdom,2008,76044890.3297724
The Queen,2006,88022192.15476191
Space Cowboys,2000,165149541.92334497
Failure to Launch,2006,138353454.19047618
Step Brothers,2008,146713369.8058523
The Artist,2011,62442573.001333915
Blended,2014,61486307.43726236
Everest,1998,168153076.84417176
Ender’s Game,2013,83305462.8772532
Forever Young,1992,125362305.28866711
The Heartbreak Kid,2007,55793119.15484804
Gandhi,1982,171919422.81450775
U-571,2000,140742438.0487805
First Knight,1995,77076298.77165353
The Adjustment Bureau,2011,87366077.31436193
Midway,2019,69896889.12319124
Pride & Prejudice,2005,62073759.59447004
Point Break,2015,38182329.22531646
This is the End,2013,136919448.5356223
Space Station,2002,162934103.74652582
